team1,team2,pct
Norway,Switzerland,2.432
Austria,Norway,2.434
Austria,Scotland,2.437
Croatia,Norway,2.446
Croatia,Scotland,2.452
Scotland,Switzerland,2.474
Norway,UEFA Playoff B,3.18
Norway,UEFA Playoff A,3.181
Scotland,UEFA Playoff C,3.184
Scotland,UEFA Playoff A,3.22
